Latitude,Longitude,Year,Theatre
22.333526,77.1259275,620,Land
28.0657961,76.1014781,1857,Land
33.1584446,74.2355203,1948,Land
19.7765376,73.0342807,738,Land
28.5405365,79.6305599,1858,Land
10.7656082,79.8423888,1746,Sea
10.7656082,79.8423888,1758,Sea
10.7656082,79.8423888,1781,Land
10.7656082,79.8423888,1782,Sea
23.810332,90.4125181,1612,Land
16.0605321,74.3294199,1674,Land
24.4763852,74.8624092,1857,Land
31.2344015,76.5054652,1702,Land
33.519106,73.151159,1895,Land
34.0104643,71.9875531,1823,Land
21.1717271,94.8585458,1826,Land
25.7710893,73.3234478,1857,Land
20.0978207,73.8430217,1728,Land
31.2630091,70.1237945,1919,Land
20.964171,79.0595163,1775,Land
26.12148,80.663491,1857,Land
16.0800527,80.2324783,1418,Land
16.8106871,74.1181234,1660,Land
16.8106871,74.1181234,1673,Land
16.8106871,74.1181234,1701,Land
8.481901,76.937029,1782,Land
29.3909464,76.9635023,1526,Land
29.3909464,76.9635023,1556,Land
29.3909464,76.9635023,1761,Land
34.6734694,72.0217667,1895,Land
26.0982148,78.0281004,1843,Land
27.7865656,75.9726329,1790,Land
26.5983641,76.2995333,1857,Land
25.5940947,85.1375645,1759,Land
25.5940947,85.1375645,1763,Land
25.5940947,85.1375645,1763,Land
25.5940947,85.1375645,1764,Land
17.3220711,96.4663286,1539,Land
17.3220711,96.4663286,1551,Land
17.3220711,96.4663286,1599,Land
17.3220711,96.4663286,1757,Land
17.3220711,96.4663286,1852,Land and Sea
17.3220711,96.4663286,1942,Land
10.9327163,79.1818173,775,Land
13.0402544,79.8171222,1780,Land
34.0151366,71.5249154,1001,Land
34.0151366,71.5249154,1008,Land
34.0151366,71.5249154,1834,Land
32.3881834,74.717984,1965,Land
23.7897741,88.2407654,1757,Land
12.9706998,79.705191,1781,Land
15.3991304,74.0123851,1675,Land
11.9415915,79.8083133,1748,Land
11.9415915,79.8083133,1759,Sea
11.9415915,79.8083133,1760,Land
11.9415915,79.8083133,1778,Land
18.5204303,73.8567437,1663,Land
18.5204303,73.8567437,1780,Land
18.5204303,73.8567437,1802,Land
33.6460428,74.0030972,1947,Land
11.5055383,79.738867,1781,Land
18.2099131,73.3343341,1659,Land
18.8406029,95.2579968,1552,Land
18.8406029,95.2579968,1825,Land
18.8406029,95.2579968,1852,Land  and Sea
18.8406029,95.2579968,1942,Land
8.2829407,81.4209529,1782,Sea
12.9716246,79.7082834,610,Land
18.2825268,73.973492,1665,Land
27.788644,79.0589843,1751,Land
6.7986368,81.1106946,1630,Land
23.7905479,78.3984423,1858,Land
31.0521281,76.1174988,1710,Land
16.2120031,77.3439283,1520,Land
18.4886555,73.0551408,1703,Land
18.4886555,73.0551408,1689,Land
17.0005383,81.8040345,1758,Land
24.2609216,76.3387121,1858,Land
25.0536768,87.8260701,1576,Land
25.89217,75.4636183,1747,Land
20.4819304,73.4681081,1763,Land
31.7341579,73.0935528,1848,Land
23.42321,76.5226688,1818,Land
16.8660694,96.195132,1824,Land
16.8660694,96.195132,1852,Land and Sea
25.0712532,77.8738864,1858,Land
25.1935599,66.8752688,712,Land
27.748339,81.6943403,1859,Land
22.2812175,82.1550451,1706,Land
21.847561,76.5893803,1720,Land
16.9615341,73.2170973,1783,Sea
29.4278784,74.269959,1306,Land
24.604834,75.5092903,1857,Land
31.7165851,74.912833,1621,Land
24.6568322,83.8503031,1795,Land
19.7926662,75.7197039,1616,Land
22.746065,88.4088788,1858,Land
13.0604797,80.24875,1782,Sea
32.6442827,73.5202287,1848,Land
30.1814786,71.3345726,1848,Land
16.6248219,76.8005838,1680,Land
23.838805,78.7378068,1858,Land
13.0581289,80.1733401,1746,Land
20.724722,73.942778,1671,Land
30.2351936,76.1117654,1709,Land
19.5758348,74.1939039,1679,Land
27.138748,78.1100648,1658,Land
26.8061453,75.7669262,1858,Land
33.5796773,70.8781826,1897,Land
26.132532,91.6718294,1671,Land
22.7864307,73.2853816,1572,Land
22.8300136,72.6299003,1704,Land
17.6804639,74.018261,1690,Land
17.6804639,74.018261,1699,Land
11.504776,77.2383942,1790,Land
15.204522,75.3004009,1777,Land
12.9205893,77.2944334,1755,Land
12.9205893,77.2944334,1791,Land
14.9724912,75.3355694,1756,Land
27.504808,92.104698,1962,Land
22.0868691,79.5434841,1818,Land
12.4215561,76.6931273,1792,Land
12.4215561,76.6931273,1799,Land
20.593684,78.96288,1752,Land
34.2185757,71.5545911,1897,Land
25.9268081,68.6260691,1843,Land
24.7018356,82.9541887,1857,Land
32.257239,75.1603752,1971,Land
20.2020186,76.3986422,1724,Land
34.1129476,74.7468742,1947,Land
27.53634,79.4394459,1858,Land
26.6429483,82.4685064,1019,Land
34.0604531,71.4358733,1866,Land
25.0746235,90.1494904,1760,Land
34.5372432,69.1656303,1879,Land
13.9299299,75.568101,1791,Land
17.6599188,75.9063906,1818,Land
13.1115847,79.4310052,1781,Land
33.7170033,74.8360918,1819,Land
17.9293172,96.8806743,1942,Land
32.4944991,74.5228916,1761,Land
32.4944991,74.5228916,1763,Land
32.4944991,74.5228916,1965,Land
12.3295599,76.0504526,1799,Land
28.452818,77.6965573,1760,Land
26.8548869,80.9494493,1857,Land
27.6094,75.139911,1859,Land
19.9525432,76.1259607,1757,Land
18.366304,73.755876,1670,Land
30.6245124,76.3863018,1555,Land
30.6245124,76.3863018,1710,Land
24.0993031,77.6707924,1631,Land
29.5335931,75.0177029,1858,Land
21.1484267,79.0823385,1817,Land
18.4590558,96.622217,1826,Land
18.4590558,96.622217,1942,Land
35.3247102,75.5509602,1948,Land
31.183333,74.85,1846,Land
26.2521333,84.0676149,1857,Land
20.8880469,70.4011569,1026,Land
25.6627483,82.779438,1763,Land
11.0024969,79.3556438,880,Land
25.2025055,85.4876072,1761,Land
18.3365365,74.3778076,1596,Land
27.384055,76.857593,1530,Land
21.1702401,72.8310607,1664,Land
21.1702401,72.8310607,1670,Land
21.166667,72.616667,1612,Sea
16.7587537,96.2482149,1613,Land
13.021058,79.7231612,949,Land
12.1946782,77.030539,1116,Land
16.4782567,76.3109331,1565,Land
21.2631886,74.916975,1818,Land
10.7869994,79.1378274,1758,Land
29.7996282,76.9239727,1191,Land
29.795588,76.9124935,1192,Land
29.7996282,76.9239727,1216,Land
12.5028829,79.60248,830,Land
33.3632987,70.5316624,1919,Land
19.197039,72.9613663,1738,Land
19.197039,72.9613663,1774,Land
29.9696148,76.8197522,1011,Land
15.3017527,98.3706818,1786,Land
8.1128693,81.2591853,1790,Land
11.7684422,79.5696083,1677,Land
11.7684422,79.5696083,1750,Land
11.7684422,79.5696083,1753,Land
34.4666983,75.8170779,1999,Land
18.2340941,73.4366664,1704,Land
18.9398354,96.4343621,1942,Land
8.2463347,77.3268525,1789,Land
10.7904833,78.7046725,1740,Land
